Job ID,Agency,Job Title,Salary,Work Location,Job Description,Minimum Qual Requirements,Preferred Skills,Posting Date
152673,DEPT OF ENVIRONMENT PROTECTION,Borough Director,54740,"250 Broadway, N.Y.","**This is a long-term temporary grant funded position with an estimated duration of up to 18 months.**    The Federal government administers the Community Development Block Grant Program (CDBG) to provide communities with resources that address a wide range of needs. These funds are designed to assist cities, counties and states recover from disasters.  The mission of NYC Housing Recovery is to return Sandy-impacted residents in New York City to permanent, safe and sustainable housing.              The Borough Director shall supervise and be responsible for the local activities of Build it Back work performed in their respective Borough to help ensure timely and quality service to help customers affected by Hurricane Sandy return to safe and sustainable housing. Duties include:  â€¢	Coordinate with management of customer operations  â€¢	Coordinate services with community based partners  â€¢	Interface with elected officials on matters pertaining to local clients and neighborhood  â€¢	Develop and ensure appropriate communications with applicants regarding case management, inspection, design consultation and repair and rebuild information  â€¢	Serve as the local liaison to coordinate Build it Back operations with other recovery initiatives and agency matters, including Department of Buildings, City Planning, Housing Preservation and Development, to help facilitate coordination at the neighborhood level  â€¢	Submit regular reports on issues, recommendations, and production  â€¢	Represent the office in the community and at professional meetings as required  â€¢	Manage a staff of neighborhood coordinators to assist with the activities described above and supervise, train and evaluate all staff positions under his or her jurisdiction.   â€¢	Shall perform related or similar duties as may be determined by the Director.","1. A master's degree from an accredited college in economics, finance, accounting, business or public administration, human resources management, management science, operations research, organizational behavior, industrial psychology, statistics, personnel administration, labor relations, psychology, sociology, human resources development, political science, urban studies or a closely related field, and two years of satisfactory full-time professional experience in one or a combination of the following: working with the budget of a large public or private concern in budget administration, accounting, economic or financial administration, or fiscal or economic research; in management or methods analysis, operations research, organizational research or program evaluation; in personnel or public administration, recruitment, position classification, personnel relations, employee benefits, staff development, employment program planning/administration, labor market research, economic planning, social services program planning/evaluation, or fiscal management; or in a related area. 18 months of this experience must have been in an executive, managerial, administrative or supervisory capacity. Supervision must have included supervising staff performing professional work in the areas described above; or    2. A baccalaureate degree from an accredited college and four years of professional experience in the areas described in ''1'' above, including the 18 months of executive, managerial, administrative or supervisory experience, as described in ''1'' above.","â€¢	Minimum of 6-10 years of program management or community coordination experience  â€¢	Bachelorâ€™s degree in management, government, or public policy preferred   â€¢	Experience working with client management or other tracking software  â€¢	Excellent communication, organizational, and managerial skills  â€¢	Long standing knowledge of the region he or she will be managing  â€¢	Disaster recovery and/or construction experience is preferred",2014-06-23
152679,DEPT OF ENVIRONMENT PROTECTION,Deputy Chief,109850,96-05 Horace Harding Expway,"Under general direction, the selected candidates will be in responsible charge of the operations, maintenance, repair, testing and adjustment of all equipment, apparatus and structures of one or more electrically powered wastewater treatment plant, dewatering facilities and/or collection facilities.  Supervises and coordinates the work of location personnel.    CERTIFICATION REQUIREMENT:    Candidates appointed to the Wastewater Treatment Plants operated by the Department of Environmental Protection must possess certification as a Grade 3 Operator of Public Sewage Treatment Plants by the New York State Department of Environmental Conservation.  This certification must be maintained for the duration of the assignment.","1. Six years of full-time satisfactory experience within the last 10 years in responsible charge of the operation of plants or facilities utilizing high tension electrical equipment (over 600 volts), including troubleshooting and repairing such equipment, in one or more of the following: electrical generating stations, electrical switching stations, water treatment plants, wastewater treatment plants, water pumping stations or high volume ventilation systems, one year of which must have been in a supervisory capacity; or    2. Three years of full-time satisfactory experience as described in ''1'' above, one year of which must have been in a supervisory capacity, and a baccalaureate degree in electrical, civil or mechanical engineering from an accredited college; or    3. Five years of full-time satisfactory experience as described in ''1'' above, one year of which must have been in a supervisory capacity, and an associate degree in Science or Applied Science from an accredited college with a major in Water Quality Monitoring, Wastewater Treatment Plant Operations, Environmental Health, Environmental Control, Electrical Technology or Mechanical Technology; or    4. Three years of full-time satisfactory experience as described in ''1'' above, and four years of full-time satisfactory experience as an electrician; one year of this experience must have been in a supervisory capacity; or    5. Six years of full-time satisfactory experience within the last 10 years as an electrician, including three years of full-time satisfactory experience troubleshooting and repairing high tension electrical equipment (600 volts or more), as described in ''1'' above; one year of this experience must have been in a supervisory capacity; or    6. A satisfactory combination of education and/or experience which is equivalent to ''1'', ''2'', ''3'', ''4'' or ''5'' above. Education may be substituted for experience on the basis that one year of experience is equivalent to 60 semester credits from an accredited college leading to a baccalaureate or associate degree in one of the disciplines described in ''2'' or ''3'' above. However, all candidates must have at least three years of satisfactory experience as described in ''1'' above, except for candidates who qualify under ''5'' above, and at least one year of supervisory experience.    License Requirement    Must possess a motor vehicle driver license valid in the State of New York. This license must be maintained for the duration of employment.", ,2014-06-23
152738,LAW DEPARTMENT,Office Manager,30683,"100 Church St., N.Y.","Performs essential administrative functions that are critical to the day-to-day operation of the Division.  Specific duties include but are not limited to:      Tracks outgoing notices of appeal:  tracks the preparation, service and filing of notices of appeal;  coordinates with Division Chief or designee, trial attorney and the Practice Unit to ensure that Notices of Appeal are timely prepared, served and filed and then duly entered in Law Manager.     Maintains the Divisionâ€™s electronic database:  Using Law Manager and FileSite, creates and maintains electronic case files and an Appeals electronic Brief Bank.    Case assignments:  Tracks assignment of new appeals and motions to appealsâ€™ teams according to the Divisionâ€™s rotation system and rules.        Mail and email:  Using Law Manager and other tools to identify and keep records of Appealsâ€™ incoming briefs, documents, and other materials â€“ and their  subsequent distribution to assigned attorneys, outside divisions/agencies, or (if unassigned) the Division Chief or designee.      Inquiries:  Answers phone, in-person and email inquiries from Law Department personnel, city agencies, opposing counsel, courts and the public about Division matters.     Statistical Reports:  Performs monthly and annual tallies of assigned cases â€“ by types, trial divisions, and appellate courts â€“ as well as win/loss tallies by court.    Division Liaison:  Frequently interfaces with those divisions handling their own appeal matters, as well as Tort and Family Court liaisons.  Regularly troubleshoots issues and coordinates work with Facilities, Operations and IT units, among others.    Coordinates and supervises division projects:  At the direction of the Division Chief or Supervising Attorney, coordinates with division secretary, team leaders, and the Practice Unit on various special projects.    File room:  Maintains the files of all unassigned appeals from the current and recent years that have not been perfected.          Archiving:  Assists attorneys in archiving closed files and, on an as needed basis, retrieving files from archives.",Qualification Requirements  A four-year high school diploma or its educational equivalent approved by a State's department of education or a recognized accrediting organization and one year of satisfactory clerical experience.  Skills Requirement  Keyboard familiarity with the ability to type at a minimum of 100 key strokes (20 words) per minute.,Experience with Law Manager and Microsoft Office Applications.,2014-06-26
152778,DEPARTMENT OF TRANSPORTATION,Machinist,251,"1 Bay St., S.I.,Ny","Under supervision, does bench, general shop and outside machinist work aboard the vessels and terminals of the Staten Island Ferry; performs related work.    EXAMPLES OF TYPICAL TASKS:  Sets up and operates machine shop equipment, such as engine lathes, shapers, milling machines, drill presses and grinders. Uses machinist tools and instruments. Inspects, overhauls and repairs all types of main and auxiliary stationary power plants, marine propulsion systems, in shop, on vessels, and in terminals. Directs subordinates in the performance of various maintenance and/or repair tasks. Prepares reports and requisitions; maintains records and inventories of supplies and materials. Performs tasks in accordance with American Bureau of Shipping and United States Coast Guard regulations. May operate a motor vehicle. Walks to and from machines and tool storage areas. Climbs stairs to get to work areas. Climbs around and over objects. Stands for an extended period of time while operating machine tool equipment. Reads small numbers and markings for precision measurements. Uses sight and hearing to avoid injury from moving vehicles and rotating machine tool equipment. Listens to supervisors instructions and communicates orally in a noisy environment. Walks over greasy concrete surfaces. Lifts metal objects weighing up to 60 pounds. Works in areas that are: dusty and dark; contain traces of vehicle/engine exhaust gases; and have strong odors from grease, lubricants, solvents or garbage.","Education and Experience Requirements: By the last day of the Application Period you must have:    1. Five years of full-time satisfactory experience acquired within the last fifteen years as a machinist; or    2. At least two and one-half years of full-time satisfactory experience acquired within the last ten years as a machinist plus sufficient full-time experience as a machinist helper or an apprentice machinist, or training of a relevant nature acquired in an approved trade, technical or vocational high school, to make up the equivalent of the remaining required experience. Six months of acceptable experience will be credited for each year of helper or apprentice experience or approved trade or vocational high school, up to a maximum of two and one-half years.","Experience in the repair, overhaul, and maintenance of marine propulsion engines (Caterpillar, Detroit, Cummings, and EMD diesel engines) rated at 1,000 horsepower or higher, and with marine propulsion systems and hydraulic steering systems, including shafting, bearings, steering gears and propeller systems.",2014-06-25
183112,DEPT OF INFO TECH & TELECOMM,GIS Analyst,45174,"2 Metro Tech 4Th Flr, Rm 418","DoITT provides for the sustained, efficient and effective delivery of IT services, infrastructure and telecommunications to enhance service delivery to New York City's residents, businesses, employees and visitors. As the City's technology leader, DoITT is responsible for maintaining the foundational IT infrastructure and systems that touch every aspect of City life from public safety to human services, from education to economic development crossing the full spectrum of governmental operations.    The CSCL database is a centralized database under the Emergency Communications Transformation Program (ECTP) intended to support the emergency response agencies as well as all other City agencies. This database is unique in its complexity and contains over 100 feature classes and tables, among which are represented all streets, addresses, transit infrastructure, schools and other public and private facilities.    The successful candidate will serve as a GIS Analyst reporting to the Application Development Management Division. Responsibilities will include:   â€¢	Daily data maintenance and performance of both manual and automated Quality Assurance checks;   â€¢	Maintenance of geospatial data using custom CSCL Maintenance tools within ESRI s ArcGIS Desktop software;   â€¢	Daily administrative tasks specific to working with versioned data;   â€¢	Communication and coordination of edit work with other editors, both internally at DoITT and at other agencies  â€¢	And perform special projects and initiatives as assigned.","(1) A baccalaureate degree from an accredited college, including or supplemented by twenty-four (24) semester credits in computer science or a related computer field; or  (2) A four year high school diploma or its educational equivalent plus (3) years of satisfactory fulltime computer programming experience; or  (3) A satisfactory combination of education and experience that is equivalent to (1) or (2) above. College education may be substituted for up to one year of the experience required in (2) above on the basis that sixty (60) semester credits from an accredited college is equated to one year of experience. In addition, twenty-four (24) credits from an accredited college or graduate school in computer science or a related computer field, or a certificate of at least 625 hours in computer programming from an accredited technical school (post high school) may be substituted for one year of experience. However, all candidates who attempt to qualify under option (3) must have at least a four year high school diploma or its educational equivalent and at least (1) year of satisfactory full-time computer programming experience.     Some examples of unacceptable experience are: End users of a computer system, program or software package; experience in the areas of end user computer technical support, computer operations, data entry/data retrieval, quality assurance (QA); end user hardware installation; end user help desk; teaching, telecommunications, experience in Microsoft Office Suite/Back Office products.","The successful candidate should possess the following: A degree in GIS, Geography, Engineering, Planning or a similar field with at least four years GIS experience; proficient in GIS principles (scale, projections, coordinate systems, cartography, topology); experience with ESRI ArcGIS desktop software, strong written and oral communication skills; detail oriented and able to work alone with minimal supervision; and proven ability to work in a team environment on demanding projects; advanced experience with ESRI s ArcGIS Desktop software; experience editing geospatial data in a multi-user versioned editing environment; experience working in an enterprise geodatabase; experience using Python, Model Builder, and ESRIâ€™s Data Interoperability extension.",2015-02-12
183500,LAW DEPARTMENT,Facilities Central Supervisor,32086,"100 Church St., N.Y.","Under the supervision of the Chief of Facilities, the Facilities Central Supervisor is responsible for the coordination and smooth functioning of the day to day routine activities of the Facilities Section of the Administration Division. The duties will include the following:    Supervises two staff members.  Receives and responds to electronic requests for service, this includes the use of the WASP system to generate reports and to close out work orders.  Monitors electronic requests for Conference rooms.  Prepares and monitors daily Work Orders.  Coordinates the timely completion of special Work Orders, such as the customized settings for conference rooms and audio/video requests.  Monitors the use of Verizon Conferencing System by the various Divisions.  Prepares Building related Work Orders via the Building's Engines program.  Monitors the use of Building services, and verifies related monthly charges.  Monitors the maintenance schedule of the agency's vehicles.  Checks drivers' licenses with DOT's on-line system, and maintains a log of drivers authorized to use the agency's vehicles.  Maintains a log of vehicles, their daily locations, and ending mileage.  Reserves vehicles for agency's staff based on a signed Reservation request form or a memorandum from the Division Chief when overnight use is requested.  Maintains a log of Resignation Voice Mail Passwords.  Prepares certificates for new attorneys and those who are promoted.  Orders name plates based on information from the Staff Action List.  Substitutes when necessary for absent members of Facilities Central.",Qualification Requirements  A four-year high school diploma or its educational equivalent approved by a State's department of education or a recognized accrediting organization and one year of satisfactory clerical experience.  Skills Requirement  Keyboard familiarity with the ability to type at a minimum of 100 key strokes (20 words) per minute.,"Must be proficient in Microsoft Office applications, such as Excel, Outlook and Word.    Must also be detail-oriented, have the ability to multi-task, is a quick learner and a team player.",2015-02-20
183598,DEPT OF HEALTH/MENTAL HYGIENE,"Supervising Exterminator, Bureau of Veterinary and Pest Control Services",34698,"125 Worth Street, Nyc","The Bureau of Veterinary and Pest Control promotes and protects the health and quality of life for New York City residents and visitors by ensuring an environment free from animal-borne diseases, hazards and nuisances by controlling and regulating animals.     DUTIES WILL INCLUDE BUT NOT BE LIMITED TO:     --Inspecting premises and investigating complaints of infestation. Determines the appropriate method of extermination and/or pest prevention (e.g., stoppage efforts; refuse management) to be used.,    --Supervising and making assignments to any exterminators engaged in preparing and using traps, rodenticides, stoppage equipment, etc.    --Supervising the cleaning and repair of equipment. Orders necessary supplies and equipment, and keeps related records.,    --Ensuring the safe storage and cautious use of the various poisons employed in exterminating operations.     --Supervising the preparation of the various substances used in exterminating.    -- Performing exterminating/stoppage duties.    -- Coordinating follow-up with DOHMH exterminator when treatment/stoppage is necessary.    -- Makings recommendations for improving exterminating methods.     --Using laptop Keeps records of exterminating operations and makes reports thereof.    -- Using pest control data tracking system to accurately enter and track all bait applications and work.","Qualification Requirements  Two years of full-time satisfactory practical experience in the preparation and use of insecticides, rodenticides, baits, traps, etc., for the extermination of insects, vermin and other pests.    Certificate Requirement  A valid Commercial Pesticide Applicator Certificate for Industrial, Institutional, Structural and Rodent Control (7A) issued by the New York State Department of Environmental Conservation. This certificate must be maintained for the duration of employment.    For Assignment Level II  In addition to the above experience, one year of full-time satisfactory experience in a supervisory capacity, for a total of three years of experience.    Certificate Requirement  A valid Commercial Pesticide Applicator Certificate for Industrial, Institutional, Structural and Rodent Control (7A) issued by the New York State Department of Environmental Conservation. This certificate must be maintained for the duration of employment.","Candidate should be highly organized, with the ability to work well in teams , should possess excellent verbal, written, and interpersonal skills. A Category 8 Exterminator license (Public Health) would be a plus. Candidate should have experience working with computer.",2015-02-10
152778,DEPARTMENT OF TRANSPORTATION,Machinist,251,"1 Bay St., S.I.,Ny","Under supervision, does bench, general shop and outside machinist work aboard the vessels and terminals of the Staten Island Ferry; performs related work.    EXAMPLES OF TYPICAL TASKS:  Sets up and operates machine shop equipment, such as engine lathes, shapers, milling machines, drill presses and grinders. Uses machinist tools and instruments. Inspects, overhauls and repairs all types of main and auxiliary stationary power plants, marine propulsion systems, in shop, on vessels, and in terminals. Directs subordinates in the performance of various maintenance and/or repair tasks. Prepares reports and requisitions; maintains records and inventories of supplies and materials. Performs tasks in accordance with American Bureau of Shipping and United States Coast Guard regulations. May operate a motor vehicle. Walks to and from machines and tool storage areas. Climbs stairs to get to work areas. Climbs around and over objects. Stands for an extended period of time while operating machine tool equipment. Reads small numbers and markings for precision measurements. Uses sight and hearing to avoid injury from moving vehicles and rotating machine tool equipment. Listens to supervisors instructions and communicates orally in a noisy environment. Walks over greasy concrete surfaces. Lifts metal objects weighing up to 60 pounds. Works in areas that are: dusty and dark; contain traces of vehicle/engine exhaust gases; and have strong odors from grease, lubricants, solvents or garbage.","Education and Experience Requirements: By the last day of the Application Period you must have:    1. Five years of full-time satisfactory experience acquired within the last fifteen years as a machinist; or    2. At least two and one-half years of full-time satisfactory experience acquired within the last ten years as a machinist plus sufficient full-time experience as a machinist helper or an apprentice machinist, or training of a relevant nature acquired in an approved trade, technical or vocational high school, to make up the equivalent of the remaining required experience. Six months of acceptable experience will be credited for each year of helper or apprentice experience or approved trade or vocational high school, up to a maximum of two and one-half years.","Experience in the repair, overhaul, and maintenance of marine propulsion engines (Caterpillar, Detroit, Cummings, and EMD diesel engines) rated at 1,000 horsepower or higher, and with marine propulsion systems and hydraulic steering systems, including shafting, bearings, steering gears and propeller systems.",2014-06-25
155260,DEPT OF ENVIRONMENT PROTECTION,Scientist (Water Ecology),55544,96-05 Horace Harding Expway,"Working in the Distribution Water Quality Operations Division, Field Operations Section, Queens, New York, the selected candidate will report directly to the Supervisor of Field Operations and will be responsible for assisting in the routine operation of the field section to ensure conformity with various State/Federal regulations and Quality Assurance (QA) goals. The Scientist (Water Ecology) will assist in the maintenance of various databases and validation tables in the barcode scanner, as well as coordinate electronic and hard-copy archiving. They will perform investigations and data 	analyses, record the results of analyses and/or investigations, review data and submit written reports as required, including the verification of field data from barcode scanner and field meters. They may perform routine preventive maintenance and repair on all field instrumentation for accurate water quality monitoring including accuracy checks of field instrumentation  and reagents, preventative maintenance and repair on autosamplers, and calibrations of all field instrumentation as per controlled documents.     The Scientist (Water Ecology) should have a strong knowledge of NYCâ€™s water supply	system, proven track record calibrating, using and troubleshooting field meters. Strong written and communication skills are imperative. Familiarization with various computer programs, including ITScriptnet, Access, Excel, Word and ARC-GIS is preferable.     This position involves working a rotating five (5) day work week schedule, including weekend shifts performing compliance sampling throughout the five boroughs.     The candidate may also be required to assist in water quality emergency remediation and field investigations as needed.","1. A masters degree from an accredited college or university  in one of the following areas of study: environmental or chemical engineering, limnology, environmental science, marine science, geology, biology, earth science, chemistry, physics, or health science; or    2. A baccalaureate degree from an accredited college or university with 24 semester credits in one or a combination of the areas of study described in ''''1'''' above, at least 12 of which must have been in one of these areas of study; and at least one year of satisfactory full time experience, which may not have been part of graduate or undergraduate course work, working in the field of water quality planning, management or  research or performing environmental laboratory analyses, and/or environmental field sampling of water; or    3. An associate degree from an accredited college or university  including or supplemented by 24 semester credits in one or a combination of the areas of study described in ''1'' above, at least 12 of which must have been in one of these areas of study; and at least three years of satisfactory full time experience as described in ''2'' above.    Additional Requirements    To be assigned to Assignment Levels II or III, all candidates must have a baccalaureate degree from an accredited college or university as described in ''2'' above and must have one additional year of the experience described in ''2'' above for a total of two years of experience.    Special Note  A master's degree from an accredited college in one of the areas described in ''1'' above may be substituted for up to two years of the required experience.", ,2014-07-18
156256,DEPT OF ENVIRONMENT PROTECTION,Fleet Services Specialist,38058,59-17 Junction Blvd Corona Ny,"Quality Assurance Specialist -- Automotive will:     Under supervision, the selected candidate must be detail oriented, have strong planning and organizational abilities, analytical and problem solving skills, solid judgment and decision making aptitudes and effective communication skills. The selected candidate will be responsible for conducting quality assurance inspections and tests to determine the acceptability and safe operation of automotive vehicles and transport equipment; and inspecting automotive parts, supplies and repairs to ensure adherence to purchase or contract specifications, terms, conditions and related regulations; inspecting vehicles in service to determine the extent of needed repairs; inspecting repair work and monitoring all warranty agreements; recommending acceptance or rejection or conditional acceptance of deliveries of vehicles and automotive parts and supplies; assisting in preparing estimates of price reductions for deliveries accepted conditionally; overseeing or conducting required tests and measurements; investigating and reporting on complaints from receiving parties and providing a high level of customer service to internal clients; keeping records and preparing required reports using computer systems; operating a motor vehicle in performance of duties; and performing quality assurance inspections of items unrelated to those described above.      Qualification Requirements   1. A four-year high school diploma or its educational equivalent and four years of   satisfactory full-time experience, conducting quality assurance inspections and   tests to determine the acceptability and safe operation of automotive vehicles and   transport equipment, inspects automotive parts, supplies and repairs to ensure   adherence to purchase or contract specifications; or   2. An associate degree from an accredited college, plus three years of satisfactory fulltime   experience as described in ''1'' above; or   3. A baccalaureate degree from an accredited college, plus one year of satisfactory   full-time satisfactory experience as described in ''1'' above; or   4. A satisfactory combination of education and/or experience equivalent to ''1'', ''2''   or ''3'' above. Undergraduate college credit may be substituted for experience on   the basis of 45 semester credits from an accredited college for one year of   experience. However, all candidates must have a high school diploma or its   educational equivalent and at least one year of satisfactory full-time experience as   described in ''1'' above.",,A Commercial Driverâ€™s License valid in the State of New York,2014-07-21
